"","X","aproovitykk_id","B02_kevad1","B02_kevad2","B02_sygis","B03_kevad1","B03_kevad2","B03_sygis","B04_kevad1","B04_kevad2","B04_sygis","B05_kevad1","B05_kevad2","B05_sygis","B06_kevad1","B06_kevad2","B06_sygis","B07_kevad1","B07_kevad2","B07_sygis","B08_kevad1","B08_kevad2","B08_sygis","B11_kevad1","B11_kevad2","B11_sygis","B12_kevad1","B12_kevad2","B12_sygis","B02_vahe_kevad","B03_vahe_kevad","B04_vahe_kevad","B05_vahe_kevad","B06_vahe_kevad","B07_vahe_kevad","B08_vahe_kevad","B11_vahe_kevad","B12_vahe_kevad","X21","X42","X43","X44","X45","X48","X51","X61","X64","X77","X999","cl","weight","muld","ARV_VMA","ARV_VKU","ARV_VKS","ARV_VXX"
"1",2,34094,-0.163972490767483,0.205055028245693,0.24890870372786,0.57955427090775,0.326454366231243,0.42131175032247,-0.214761676873618,-0.346680485303785,0.102150270711608,0.842021065582702,0.137857788157419,0.622959258933164,2.49447397536455,1.61814869378779,1.6888252860687,2.30719061634485,1.77634934766062,1.89791738705816,2.67736414092936,1.70284794436764,1.97130756063063,0.897978767065589,0.410630960894418,0.75267335096581,0.436886445287693,-0.00836501362892391,0.348375347418169,0.366745749600541,-0.531685826141894,-0.00469880278416656,-1.00788164648237,0.722104398535899,1.15229026602926,0.790927905736634,-1.12108837551767,-0.660924128837876,0,0,0,0,0,0,1,0,0,0,0,"cl",49,51,0,0.03,0.49,0.48
"2",3,34102,-0.613000650477962,-0.164200325956327,-0.155025381316436,-0.120142435701094,-0.687741281412309,-0.15559643343857,-0.639505319299573,-0.639904264295116,-0.0795186994415633,0.00176671634212023,-0.495426032401463,-0.0391477221079486,1.56792123374436,0.243512757372079,0.65663141459939,1.80739202109565,0.410762754535905,0.783850881270561,1.90940518423196,0.496499011334846,0.779819641778776,-0.0501826394161037,-0.401969580209225,-0.0680959555519298,-0.33815394464954,-0.566168483641777,-0.227677348382367,0.624488775129806,-0.621179367814743,0.277235422777065,-0.582057188694809,-0.51971313082213,-0.290422006034165,-0.37228247948003,-0.445545059001033,-0.0254816414596397,0,0,0,0,1,0,0,0,0,0,0,"KS",96,45,0,0.03,0.96,0.01
"3",4,34111,-0.974087212255535,-0.221100555723396,-0.419074619551141,-0.767024850990716,-0.700790282899425,-0.932335303734708,-0.888311218732495,-0.320662971208241,-0.455838172612461,-1.12211779298243,-0.798392378450932,-1.13289752348314,-0.580342265714036,-0.808166543379792,-1.05561717618622,-0.409968413387209,-0.679235730024864,-0.987901737114857,0.0801790576649679,-0.705631127755396,-1.22942183070244,-0.524629960173647,-0.666055365396575,-0.763414314820487,-0.712195505714856,-0.603934478449158,-0.698607155592746,1.02428258102738,0.386684601728364,0.806775917084364,0.624035206199788,-0.711316997520591,-0.647054005978942,-0.963149933483663,0.0835915529787214,0.498235777769776,0,0,0,0,0,0,0,0,0,1,0,"MA",100,77,1,0,0,0
"4",8,34235,0.0115921226326481,-0.313196735386442,0.248087699490944,-0.102148071295544,-0.0773840332517153,0.119328823313459,-0.183304171968104,-0.512656725767588,0.0650993623260576,-0.0528320894736889,-0.00731358599109647,0.462101216743593,0.472489420990477,1.28945910009418,1.36053589814875,0.509766779354782,1.24322890316303,1.48109870419826,0.0977957617205674,1.18376188975745,1.24269383608868,-0.217174442700063,0.159961525237281,0.74466060713417,-0.318701699905347,-0.20698456158451,0.383898596994749,-0.265509545334254,0.070302364184405,-0.164871923872059,0.0648021610565103,1.37387822123796,1.28950977459714,1.49169642118613,0.618767086522027,0.282294193651637,1,0,0,0,0,0,0,0,0,0,0,"cl",72,999,0,0.08,0.72,0.2
"5",9,34237,-0.434787701496426,-0.492393701459307,-0.705919224946001,-0.613911971572437,-0.496821005418093,-0.939302525617569,-0.613381991289892,-0.714346043646322,-0.888662730982595,-0.566557216921522,-0.442827708435395,-0.763433339509985,-0.378295953582496,0.270903556846545,-0.0943744842056451,-0.427157253963422,0.153230418602387,-0.0863974594767885,-0.815882393123785,0.092526468452174,-0.205408553752375,-0.626172845810481,-0.374188030447945,-0.345898610325617,-0.550155265671663,-0.481211365280367,-0.479700402797276,0.141409033617047,0.385078119220315,0.191266213079326,0.268607161662964,0.540281147625813,0.373133157558798,0.556454800318557,0.663960873758037,0.371103730038403,0,1,0,0,0,0,0,0,0,0,0,"cl",60,42,0,0.4,0,0.6
"6",14,34264,-0.0241182632988564,-0.493823944494712,-1.49900931875769,-0.396525536059367,-0.772622427072279,-1.61912649090991,-0.219143990246257,-0.602406697664608,-1.14801908969343,-0.70589053306173,-0.857302501292419,-1.31158152285216,-1.38700608116004,-0.606239021672081,-1.49066977201831,-1.47594097288424,-0.683987249137357,-1.39302676526276,-1.50833830816086,-0.501820546262699,-1.25390011735357,-0.708534080307298,-0.815172819242948,-1.11726976414365,-0.469798983197348,-0.568729375787438,-0.896378519433242,-0.36633552637612,-0.284110582160497,-0.189326487916987,-0.0228241435517709,-0.0321253830136328,-0.186842663424279,0.151125302723452,0.226007142666094,0.168906094178084,0,1,0,0,0,0,0,0,0,0,0,"cl",55,42,0,0.2,0.25,0.55
"7",15,34268,-0.91567512054621,0.207528825569064,-0.349486710997528,-1.10173104721351,-0.537295900231412,-0.739972618657343,-1.0138625633002,-0.157706549208317,-0.513384300421267,-1.20366146400582,-1.00457780840123,-0.959518868513166,-1.13186175477335,-1.32508825904286,-1.12798887454765,-1.03504721207511,-1.17529432543955,-1.02926667457201,-1.16880597012255,-1.13327198615916,-1.05801069739001,-1.25855607195186,-1.17663919107572,-1.17889858542536,-1.10554406353378,-0.841296308307994,-0.949749174808935,1.29602219098306,1.10898128797839,1.07537237415507,0.496041727556717,-1.0712757261726,-0.977242061033796,-0.853800110857289,0.765263851054153,0.863626974197488,0,1,0,0,0,0,0,0,0,0,0,"cl",63,42,0.63,0.29,0.04,0.04
"8",18,34274,-0.0683621059999768,-0.480456848892922,0.00135876806105052,-0.0737983999947021,-0.567106619604385,0.153964625068639,-0.0607848817270748,-0.741884018758232,-0.0461003039713502,0.0952760347430014,-0.543816490451488,0.300182105674179,0.0753953888653375,0.784958793494524,0.762347924395677,0.196599326218339,0.732915750408407,0.815926466854611,0.282559969096927,0.749492599794336,0.887249571767561,0.164371524972222,-0.106761005280678,0.341530908186948,0.109921682900096,-0.483270573243123,0.0435599490165348,-0.301035285720146,-0.552193222690341,-0.479083874026663,-0.768509227292689,0.948180927443158,0.805628933829214,0.826611626125892,-0.449138097377075,-0.617542659840751,0,1,0,0,0,0,0,0,0,0,0,"cl",59,42,0,0.14,0.27,0.59
"9",19,34280,-0.829132395074038,-0.575386868214432,-0.440243314263758,-0.884486801001566,-0.900350138659163,-0.436210957772443,-0.891902999053518,-0.738893297735109,-0.208160293234228,-0.711740405112227,-0.632181674713957,-0.114271398801992,-0.710805151743495,-0.143780407288838,-0.284350192403534,-0.597723441229129,-0.114280107468053,-0.143772868101922,-0.369355075981974,-0.174760002028243,-0.0763634612807845,-0.866037735426697,-0.759572841474766,-0.456558152808029,-0.883404571925389,-0.855330477469838,-0.542238192646154,0.561301023232124,0.337098616026742,0.500619517691345,0.248669715951682,0.193590385475952,0.12227693717626,-0.0306533893268519,0.593762932650835,0.518400347404134,0,0,1,0,0,0,0,0,0,0,0,"KS",87,43,0,0.13,0.87,0
"11",21,34288,-0.374197021702963,-0.351804544243262,-0.315031206218633,-0.715593005991968,-0.998066158452182,-0.732032706875656,-0.797213981401502,-0.448865191620643,-0.560492839938947,-1.11857241598141,-1.12660592000284,-1.31306701928581,-1.07594908933111,-1.4088531458073,-1.59219948934871,-1.0737221033742,-1.39053814126534,-1.58542563552375,-0.999131321066621,-1.46189739442484,-1.50899436234406,-1.1809911754653,-1.44578644526262,-1.4310196057922,-1.01647615123373,-1.04795225581026,-1.13762579609706,0.179429130948264,-0.0453228430128068,0.604493268583404,0.235131944172717,-1.2061600381888,-1.2221736817407,-1.37303845543812,0.259994944621876,0.536675458448099,0,0,0,0,0,0,1,0,0,0,0,"MA",80,51,0.8,0.2,0,0
