"","x","y","kp","B2","B3","B4","B5","B6","B7","satel","muld","21","42","43","44","45","48","51","53","61","64","999","37","77"
"1",669412.50000001,6460012.49999977,"2017-06-17",9172,8901,8012,19194,12379,9007,"LC08",42,0,1,0,0,0,0,0,0,0,0,0,0,0
"3",669412.50000001,6460012.49999977,"2018-05-10",9091,9172,8997,16144,15328,12195,"LC08",42,0,1,0,0,0,0,0,0,0,0,0,0,0
"4",669412.50000001,6460012.49999977,"2018-05-12",9535,9299,9294,17627,15474,12544,"LC08",42,0,1,0,0,0,0,0,0,0,0,0,0,0
"5",669412.50000001,6460012.49999977,"2018-05-26",9041,9014,8398,19251,13824,10362,"LC08",42,0,1,0,0,0,0,0,0,0,0,0,0,0
"6",669412.50000001,6460012.49999977,"2018-05-28",9267,9060,8541,20943,13934,10385,"LC08",42,0,1,0,0,0,0,0,0,0,0,0,0,0
"7",669412.50000001,6460012.49999977,"2018-08-23",9623,9534,10564,13337,15759,14648,"LC08",42,0,1,0,0,0,0,0,0,0,0,0,0,0
"9",669412.50000001,6460037.49999977,"2018-05-10",9660,9783,10312,16772,16616,14167,"LC08",42,0,1,0,0,0,0,0,0,0,0,0,0,0
"10",669412.50000001,6460037.49999977,"2018-05-12",9866,10174,9915,17778,16938,13276,"LC08",42,0,1,0,0,0,0,0,0,0,0,0,0,0
"11",669412.50000001,6460037.49999977,"2018-05-28",9879,9904,9576,20833,15158,11978,"LC08",42,0,1,0,0,0,0,0,0,0,0,0,0,0
"12",669412.50000001,6460037.49999977,"2018-08-23",9295,9087,9725,12997,14888,13423,"LC08",42,0,1,0,0,0,0,0,0,0,0,0,0,0
"14",669412.50000001,6460037.49999977,"2018-05-26",9552,9603,9781,18942,15324,12170,"LC08",42,0,1,0,0,0,0,0,0,0,0,0,0,0
"16",669412.50000001,6460037.49999977,"2017-06-17",9497,9340,8892,19232,13655,10442,"LC08",42,0,1,0,0,0,0,0,0,0,0,0,0,0
"17",669412.50000001,6460062.49999977,"2018-05-12",10844,11165,12462,17454,18705,16550,"LC08",42,0,1,0,0,0,0,0,0,0,0,0,0,0
"18",669412.50000001,6460062.49999977,"2018-05-10",10210,10621,11794,16165,17885,15882,"LC08",42,0,1,0,0,0,0,0,0,0,0,0,0,0
"19",669412.50000001,6460062.49999977,"2018-05-26",10113,10540,11086,17880,16898,13907,"LC08",42,0,1,0,0,0,0,0,0,0,0,0,0,0
"20",669412.50000001,6460062.49999977,"2018-05-28",10677,11026,11405,19174,17703,14730,"LC08",42,0,1,0,0,0,0,0,0,0,0,0,0,0
"21",669412.50000001,6460062.49999977,"2018-08-23",9051,8723,8968,12721,14136,11904,"LC08",42,0,1,0,0,0,0,0,0,0,0,0,0,0
"23",669412.50000001,6460062.49999977,"2017-06-17",10211,10341,10517,18824,14996,12175,"LC08",42,0,1,0,0,0,0,0,0,0,0,0,0,0
"25",669412.50000001,6460087.49999977,"2018-05-12",11027,11211,12531,16268,18735,17272,"LC08",42,0,1,0,0,0,0,0,0,0,0,0,0,0
"26",669412.50000001,6460087.49999977,"2018-05-10",9851,10040,10488,16418,16338,14282,"LC08",42,0,1,0,0,0,0,0,0,0,0,0,0,0
"27",669412.50000001,6460087.49999977,"2018-05-26",9685,9715,9664,19162,15466,12574,"LC08",42,0,1,0,0,0,0,0,0,0,0,0,0,0
"28",669412.50000001,6460087.49999977,"2018-05-28",10533,10871,11416,18339,17296,14514,"LC08",42,0,1,0,0,0,0,0,0,0,0,0,0,0
"29",669412.50000001,6460087.49999977,"2018-08-23",8613,8110,7756,13610,12684,9723,"LC08",42,0,1,0,0,0,0,0,0,0,0,0,0,0
"31",669412.50000001,6460087.49999977,"2017-06-17",9640,9795,9261,21190,14860,11328,"LC08",42,0,1,0,0,0,0,0,0,0,0,0,0,0
"33",669412.50000001,6460112.49999977,"2018-05-10",8581,8465,7676,19450,12861,9703,"LC08",42,0,1,0,0,0,0,0,0,0,0,0,0,0
"34",669412.50000001,6460112.49999977,"2018-08-23",8317,7749,6932,14799,10612,7980,"LC08",42,0,1,0,0,0,0,0,0,0,0,0,0,0
"35",669412.50000001,6460112.49999977,"2018-05-12",10278,10278,11022,15824,17372,15487,"LC08",42,0,1,0,0,0,0,0,0,0,0,0,0,0
"36",669412.50000001,6460112.49999977,"2018-05-26",8626,8438,7517,21921,13459,9360,"LC08",42,0,1,0,0,0,0,0,0,0,0,0,0,0
"37",669412.50000001,6460112.49999977,"2018-05-28",9802,9820,9505,19136,15122,11924,"LC08",42,0,1,0,0,0,0,0,0,0,0,0,0,0
"39",669412.50000001,6460112.49999977,"2017-06-17",8909,8891,7427,23732,12635,8714,"LC08",42,0,1,0,0,0,0,0,0,0,0,0,0,0
"41",669412.50000001,6460137.49999977,"2018-05-10",8370,7895,7072,16594,11200,8512,"LC08",42,0,1,0,0,0,0,0,0,0,0,0,0,0
"43",669412.50000001,6460137.49999977,"2017-06-17",8689,8421,6950,24443,11538,7830,"LC08",42,0,1,0,0,0,0,0,0,0,0,0,0,0
"45",669412.50000001,6460137.49999977,"2018-05-28",9238,9047,8043,19939,13793,10409,"LC08",42,0,1,0,0,0,0,0,0,0,0,0,0,0
"46",669412.50000001,6460137.49999977,"2018-08-23",8238,7726,6838,15134,10792,7717,"LC08",42,0,1,0,0,0,0,0,0,0,0,0,0,0
"47",669412.50000001,6460137.49999977,"2018-05-12",9513,8964,8984,15936,14495,12068,"LC08",42,0,1,0,0,0,0,0,0,0,0,0,0,0
"48",669412.50000001,6460137.49999977,"2018-05-26",8302,7818,6624,20952,10994,7824,"LC08",42,0,1,0,0,0,0,0,0,0,0,0,0,0
"50",669412.50000001,6460162.49999977,"2017-06-17",8689,8421,6950,24443,11538,7830,"LC08",42,0,1,0,0,0,0,0,0,0,0,0,0,0
