"","aproovitykk_id","kp","satel","B2","B3","B4","B5","B6","B7","muld","MA","KU","KS","MUU","21","37","42","43","44","45","48","51","53","61","64","77","999"
"1",34102,2015-06-12,"LC08",8201,7488,6441,17733,9406,6768,45,0,3,96,1,0,0,0,0,0,1,0,0,0,0,0,0,0
"3",34102,2015-08-08,"LC08",NA,NA,NA,NA,NA,NA,45,0,3,96,1,0,0,0,0,0,1,0,0,0,0,0,0,0
"8",34102,2016-06-14,"LC08",8220,7404,6404,17452,9130,6619,45,0,3,96,1,0,0,0,0,0,1,0,0,0,0,0,0,0
"11",34102,2017-06-17,"LC08",8424,7638,6575,18450,9251,6707,45,0,3,96,1,0,0,0,0,0,1,0,0,0,0,0,0,0
"14",34102,2018-05-10,"LC08",8106,7536,6699,14170,9468,7171,45,0,3,96,1,0,0,0,0,0,1,0,0,0,0,0,0,0
"16",34102,2018-05-12,"LC08",8327,7725,6652,15625,9766,7035,45,0,3,96,1,0,0,0,0,0,1,0,0,0,0,0,0,0
"17",34102,2018-05-26,"LC08",8092,7290,6354,16936,8952,6563,45,0,3,96,1,0,0,0,0,0,1,0,0,0,0,0,0,0
"19",34102,2018-05-28,"LC08",8359,7489,6448,18064,9484,6829,45,0,3,96,1,0,0,0,0,0,1,0,0,0,0,0,0,0
"22",34102,2018-08-23,"LC08",8230,7352,6626,14712,8482,6425,45,0,3,96,1,0,0,0,0,0,1,0,0,0,0,0,0,0
"25",34111,2015-06-12,"LC08",8177,7390,6463,13894,8602,6571,77,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
"27",34111,2015-08-08,"LC08",8487,7499,6612,12726,8070,6191,77,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
"32",34111,2016-06-14,"LC08",NA,NA,NA,NA,NA,NA,77,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
"35",34111,2017-06-17,"LC08",8520,7697,6758,13797,8874,6739,77,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
"38",34111,2018-05-10,"LC08",NA,NA,NA,NA,NA,NA,77,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
"40",34111,2018-05-12,"LC08",8408,7894,6840,15396,10350,7605,77,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
"41",34111,2018-05-26,"LC08",NA,NA,NA,NA,NA,NA,77,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
"43",34111,2018-05-28,"LC08",8374,7664,6600,18145,9941,7221,77,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
"46",34111,2018-08-23,"LC08",NA,NA,NA,NA,NA,NA,77,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
"49",34235,2015-06-12,"LC08",8221,7574,6407,18618,9399,6701,21,0,8,72,20,1,0,0,0,0,0,0,0,0,0,0,0,0
"51",34235,2015-08-08,"LC08",NA,NA,NA,NA,NA,NA,21,0,8,72,20,1,0,0,0,0,0,0,0,0,0,0,0,0
"56",34235,2016-06-14,"LC08",NA,NA,NA,NA,NA,NA,21,0,8,72,20,1,0,0,0,0,0,0,0,0,0,0,0,0
"59",34235,2017-06-17,"LC08",8682,8124,6986,20231,10815,7465,21,0,8,72,20,1,0,0,0,0,0,0,0,0,0,0,0,0
"62",34235,2018-05-10,"LC08",8100,7601,6665,14250,9477,7147,21,0,8,72,20,1,0,0,0,0,0,0,0,0,0,0,0,0
"64",34235,2018-05-12,"LC08",NA,NA,NA,NA,NA,NA,21,0,8,72,20,1,0,0,0,0,0,0,0,0,0,0,0,0
"65",34235,2018-05-26,"LC08",8039,7481,6356,19696,9654,6754,21,0,8,72,20,1,0,0,0,0,0,0,0,0,0,0,0,0
"67",34235,2018-05-28,"LC08",NA,NA,NA,NA,NA,NA,21,0,8,72,20,1,0,0,0,0,0,0,0,0,0,0,0,0
"70",34235,2018-08-23,"LC08",8249,7562,6749,15133,9962,7217,21,0,8,72,20,1,0,0,0,0,0,0,0,0,0,0,0,0
"73",34237,2015-06-12,"LC08",8237,7568,6465,16975,9370,6778,42,0,40,0,60,0,0,1,0,0,0,0,0,0,0,0,0,0
"75",34237,2015-08-08,"LC08",NA,NA,NA,NA,NA,NA,42,0,40,0,60,0,0,1,0,0,0,0,0,0,0,0,0,0
"80",34237,2016-06-14,"LC08",NA,NA,NA,NA,NA,NA,42,0,40,0,60,0,0,1,0,0,0,0,0,0,0,0,0,0
"83",34237,2017-06-17,"LC08",8527,7798,6662,16668,9298,6815,42,0,40,0,60,0,0,1,0,0,0,0,0,0,0,0,0,0
"86",34237,2018-05-10,"LC08",8041,7381,6535,12338,8748,6891,42,0,40,0,60,0,0,1,0,0,0,0,0,0,0,0,0,0
"88",34237,2018-05-12,"LC08",NA,NA,NA,NA,NA,NA,42,0,40,0,60,0,0,1,0,0,0,0,0,0,0,0,0,0
"89",34237,2018-05-26,"LC08",8131,7550,6392,17215,9500,6864,42,0,40,0,60,0,0,1,0,0,0,0,0,0,0,0,0,0
