"","aproovitykk_id","kp","satel","B2","B3","B4","B5","B6","B7","muld","MA","KU","KS","MUU","21","37","42","43","44","45","48","51","53","61","64","77","999"
"1",34102,2015-06-12,"LC08",-0.357421526230876,-0.509221599738972,-0.557083707772002,0.826368183083113,0.274119749024113,-0.0571222389179925,45,0,3,96,1,0,0,0,0,0,1,0,0,0,0,0,0,0
"3",34102,2015-08-08,"LC08",NA,NA,NA,NA,NA,NA,45,0,3,96,1,0,0,0,0,0,1,0,0,0,0,0,0,0
"8",34102,2016-06-14,"LC08",-1.1404213806159,-0.9442745969669,-0.93025565726867,0.165643482936461,-0.269623045351753,-0.559382366675418,45,0,3,96,1,0,0,0,0,0,1,0,0,0,0,0,0,0
"11",34102,2017-06-17,"LC08",-0.78978445141837,-0.849930673530304,-0.897043912316943,0.849154047684662,-0.250270878541825,-0.600274257377536,45,0,3,96,1,0,0,0,0,0,1,0,0,0,0,0,0,0
"14",34102,2018-05-10,"LC08",-0.0813934057607616,0.564044257868863,0.0264383325111806,1.96878548178257,0.461872752982698,0.218389229042484,45,0,3,96,1,0,0,0,0,0,1,0,0,0,0,0,0,0
"16",34102,2018-05-12,"LC08",-0.161562928345871,0.417719476379961,-0.465604096638853,1.83588221818127,0.328927083040308,-0.195167363608656,45,0,3,96,1,0,0,0,0,0,1,0,0,0,0,0,0,0
"17",34102,2018-05-26,"LC08",-0.420751492222003,-0.58935567563036,-0.491183426852659,0.975086758835944,-0.0586369474620574,-0.276989582648635,45,0,3,96,1,0,0,0,0,0,1,0,0,0,0,0,0,0
"19",34102,2018-05-28,"LC08",-0.281144590419542,-0.744741068226007,-0.667113670461733,1.07463938516725,-0.0030484979536288,-0.320964571798452,45,0,3,96,1,0,0,0,0,0,1,0,0,0,0,0,0,0
"22",34102,2018-08-23,"LC08",1.1830673808721,0.585413470132479,0.633376795843508,1.04734225386622,0.325955700442258,0.198255099228681,45,0,3,96,1,0,0,0,0,0,1,0,0,0,0,0,0,0
"25",34111,2015-06-12,"LC08",-0.578301692715469,-1.05574345310335,-0.451975263119364,-0.665376530746192,-0.684088034118176,-0.564413794612941,77,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
"27",34111,2015-08-08,"LC08",0.218475763874576,-0.752787447151389,-0.349720605512696,-0.912510129110639,-0.706721585152553,-0.806476215766208,77,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
"32",34111,2016-06-14,"LC08",NA,NA,NA,NA,NA,NA,77,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
"35",34111,2017-06-17,"LC08",-0.232327497758783,-0.613985904683065,-0.207675536742168,-0.8957770750116,-0.676373414271569,-0.533343643788571,77,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
"38",34111,2018-05-10,"LC08",NA,NA,NA,NA,NA,NA,77,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
"40",34111,2018-05-12,"LC08",0.351425942002344,1.12260559764342,0.0867922199559815,1.67388817309162,0.831766417066727,0.620172281091335,77,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
"41",34111,2018-05-26,"LC08",NA,NA,NA,NA,NA,NA,77,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
