"","aproovitykk_id","kp","satel","B02","B03","B04","B05","B06","B07","B08","B11","B12","B2","B3","B4","B5","B6","B7","B9","muld","MA","KU","KS","MUU","21","37","42","43","44","45","48","51","53","61","64","77","999"
"2",34102,2015-08-04,"S2",743,582,329,590,2141,2823,2775,973,366,NA,NA,NA,NA,NA,NA,NA,45,0,3,96,1,0,0,0,0,0,1,0,0,0,0,0,0,0
"4",34102,2015-08-24,"S2",840,649,404,636,2029,2605,2582,985,379,NA,NA,NA,NA,NA,NA,NA,45,0,3,96,1,0,0,0,0,0,1,0,0,0,0,0,0,0
"5",34102,2015-09-30,"S2",926,742,492,791,1735,2164,2141,1056,427,NA,NA,NA,NA,NA,NA,NA,45,0,3,96,1,0,0,0,0,0,1,0,0,0,0,0,0,0
"6",34102,2016-04-27,"S2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,45,0,3,96,1,0,0,0,0,0,1,0,0,0,0,0,0,0
"7",34102,2016-05-10,"S2",840,721,441,816,1932,2304,2321,1258,593,NA,NA,NA,NA,NA,NA,NA,45,0,3,96,1,0,0,0,0,0,1,0,0,0,0,0,0,0
"9",34102,2017-05-02,"S2",898,733,636,934,1611,1859,1922,1442,808,NA,NA,NA,NA,NA,NA,NA,45,0,3,96,1,0,0,0,0,0,1,0,0,0,0,0,0,0
"10",34102,2017-05-05,"S2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,45,0,3,96,1,0,0,0,0,0,1,0,0,0,0,0,0,0
"12",34102,2017-08-30,"S2",841,653,390,632,2064,2621,2627,1026,373,NA,NA,NA,NA,NA,NA,NA,45,0,3,96,1,0,0,0,0,0,1,0,0,0,0,0,0,0
"13",34102,2017-09-24,"S2",907,709,461,728,1803,2357,2397,992,404,NA,NA,NA,NA,NA,NA,NA,45,0,3,96,1,0,0,0,0,0,1,0,0,0,0,0,0,0
"15",34102,2018-05-10,"S2",789,705,433,880,1947,2321,2389,1242,617,NA,NA,NA,NA,NA,NA,NA,45,0,3,96,1,0,0,0,0,0,1,0,0,0,0,0,0,0
"18",34102,2018-05-27,"S2",922,765,481,801,2405,3044,3019,1274,570,NA,NA,NA,NA,NA,NA,NA,45,0,3,96,1,0,0,0,0,0,1,0,0,0,0,0,0,0
"20",34102,2018-05-30,"S2",758,599,337,630,2133,2757,2793,1049,429,NA,NA,NA,NA,NA,NA,NA,45,0,3,96,1,0,0,0,0,0,1,0,0,0,0,0,0,0
"21",34102,2018-06-09,"S2",725,575,322,614,2171,2847,2849,1026,412,NA,NA,NA,NA,NA,NA,NA,45,0,3,96,1,0,0,0,0,0,1,0,0,0,0,0,0,0
"23",34102,2018-08-23,"S2",836,652,417,614,1848,2429,2438,996,423,NA,NA,NA,NA,NA,NA,NA,45,0,3,96,1,0,0,0,0,0,1,0,0,0,0,0,0,0
"24",34102,2018-09-19,"S2",907,705,446,674,1799,2311,2368,1046,414,NA,NA,NA,NA,NA,NA,NA,45,0,3,96,1,0,0,0,0,0,1,0,0,0,0,0,0,0
"26",34111,2015-08-04,"S2",729,553,330,507,1506,1854,1753,795,315,NA,NA,NA,NA,NA,NA,NA,77,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
"28",34111,2015-08-24,"S2",813,612,385,544,1448,1744,1676,781,300,NA,NA,NA,NA,NA,NA,NA,77,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
"29",34111,2015-09-30,"S2",895,639,401,558,1232,1483,1356,775,338,NA,NA,NA,NA,NA,NA,NA,77,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
"30",34111,2016-04-27,"S2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,77,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
"31",34111,2016-05-10,"S2",818,658,448,643,1340,1584,1568,984,459,NA,NA,NA,NA,NA,NA,NA,77,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
"33",34111,2017-05-02,"S2",829,634,464,714,1384,1656,1633,1036,524,NA,NA,NA,NA,NA,NA,NA,77,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
"34",34111,2017-05-05,"S2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,77,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
"36",34111,2017-08-30,"S2",829,609,375,528,1506,1905,1692,883,326,NA,NA,NA,NA,NA,NA,NA,77,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
"37",34111,2017-09-24,"S2",882,637,413,560,1310,1627,1477,759,328,NA,NA,NA,NA,NA,NA,NA,77,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
"39",34111,2018-05-10,"S2",764,602,408,639,1354,1567,1550,974,457,NA,NA,NA,NA,NA,NA,NA,77,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
"42",34111,2018-05-27,"S2",861,695,449,689,1785,2262,1989,1082,474,NA,NA,NA,NA,NA,NA,NA,77,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
"44",34111,2018-05-30,"S2",766,608,397,611,1627,2016,1850,972,415,NA,NA,NA,NA,NA,NA,NA,77,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
"45",34111,2018-06-09,"S2",732,584,361,601,1646,2076,1897,938,381,NA,NA,NA,NA,NA,NA,NA,77,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
"47",34111,2018-08-23,"S2",846,649,424,562,1308,1720,1572,773,337,NA,NA,NA,NA,NA,NA,NA,77,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
"48",34111,2018-09-19,"S2",897,660,417,547,1292,1573,1480,799,322,NA,NA,NA,NA,NA,NA,NA,77,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
"50",34235,2015-08-04,"S2",746,600,344,654,2536,3301,3079,1254,475,NA,NA,NA,NA,NA,NA,NA,21,0,8,72,20,1,0,0,0,0,0,0,0,0,0,0,0,0
