"","aproovitykk_id","kp","satel","B02","B03","B04","B05","B06","B07","B08","B11","B12","B2","B3","B4","B5","B6","B7","B9","muld","MA","KU","KS","MUU","21","31","37","42","43","44","45","48","51","53","57","61","63","64","77","999"
"1",34094,2018-05-10,"S2",825,777,483,1039,2199,2415,2539,1567,754,NA,NA,NA,NA,NA,NA,NA,51,0,3,49,48,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
"4",34094,2018-05-30,"S2",765,653,347,741,2947,3721,3859,1331,523,NA,NA,NA,NA,NA,NA,NA,51,0,3,49,48,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
"6",34094,2018-05-27,"S2",894,785,467,865,3031,3938,3934,1528,641,NA,NA,NA,NA,NA,NA,NA,51,0,3,49,48,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
"7",34094,2018-08-23,"S2",840,682,422,685,2262,3067,3060,1211,502,NA,NA,NA,NA,NA,NA,NA,51,0,3,49,48,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
"8",34094,2018-09-19,"S2",914,729,450,760,2122,2816,2821,1270,473,NA,NA,NA,NA,NA,NA,NA,51,0,3,49,48,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
"9",34094,2015-08-04,"S2",758,624,355,677,2651,3668,3592,1267,496,NA,NA,NA,NA,NA,NA,NA,51,0,3,49,48,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
"10",34094,2017-09-24,"S2",922,733,471,813,2062,2537,2749,1240,481,NA,NA,NA,NA,NA,NA,NA,51,0,3,49,48,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
"13",34094,2016-04-27,"S2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,51,0,3,49,48,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
"15",34094,2015-08-24,"S2",861,695,434,725,2431,3218,3210,1249,485,NA,NA,NA,NA,NA,NA,NA,51,0,3,49,48,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
"16",34094,2015-09-30,"S2",944,753,492,837,1868,2225,2305,1268,497,NA,NA,NA,NA,NA,NA,NA,51,0,3,49,48,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
"18",34094,2018-06-09,"S2",733,628,329,740,2889,3863,3905,1295,501,NA,NA,NA,NA,NA,NA,NA,51,0,3,49,48,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
"20",34094,2016-05-10,"S2",856,784,459,964,2470,2783,2769,1459,659,NA,NA,NA,NA,NA,NA,NA,51,0,3,49,48,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
"21",34094,2017-05-05,"S2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,51,0,3,49,48,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
"23",34094,2017-08-30,"S2",843,675,391,688,2324,3177,3160,1225,452,NA,NA,NA,NA,NA,NA,NA,51,0,3,49,48,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
"24",34094,2017-05-02,"S2",959,796,782,1101,1430,1664,1748,2193,1339,NA,NA,NA,NA,NA,NA,NA,51,0,3,49,48,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
"26",34102,2015-09-30,"S2",926,742,492,791,1735,2164,2141,1056,427,NA,NA,NA,NA,NA,NA,NA,45,0,3,96,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
"27",34102,2016-04-27,"S2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,45,0,3,96,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
