"","aproovitykk_id","kp","satel","B02","B03","B04","B05","B06","B07","B08","B11","B12","B2","B3","B4","B5","B6","B7","B9","muld","MA","KU","KS","MUU","21","31","37","42","43","44","45","48","51","53","57","61","63","64","77","999"
"1",34094,2018-05-10,"S2",-0.230421403551324,1.30335221867828,0.276973717965283,2.14687774849286,1.33247895388935,0.708475598324836,1.00971320721207,1.58349050803648,1.24050960771751,NA,NA,NA,NA,NA,NA,NA,51,0,3,49,48,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
"4",34094,2018-05-30,"S2",-0.954370000965646,-0.271664022056693,-0.865071157702712,0.175924137288707,3.16776634093655,3.02831894415127,3.48807760048206,0.854025672929047,0.14488407693561,NA,NA,NA,NA,NA,NA,NA,51,0,3,49,48,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
"6",34094,2018-05-27,"S2",0.602119483475146,1.40496616969344,0.14261549729846,0.996052485574998,3.37386813306484,3.4137753040627,3.62889375919058,1.46294335308229,0.704554261490865,NA,NA,NA,NA,NA,NA,NA,51,0,3,49,48,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
"7",34094,2018-08-23,"S2",-0.0494342541977438,0.0966865503732601,-0.235266998326979,-0.19445640709865,1.48705529798557,1.8666209746486,1.9879161230406,0.483111349993065,0.0452817559554372,NA,NA,NA,NA,NA,NA,NA,51,0,3,49,48,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
"8",34094,2018-09-19,"S2",0.843435682613253,0.693668512587322,-0.00014011216003905,0.301588964848703,1.14355231110508,1.42077053069574,1.53918196395611,0.665477558769923,-0.0922643063505153,NA,NA,NA,NA,NA,NA,NA,51,0,3,49,48,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
"9",34094,2015-08-04,"S2",-1.03883067066398,-0.640014594486646,-0.797892047369301,-0.247367913439701,2.44150288296065,2.93417522491022,2.98677207547972,0.656204700696523,0.0168239499611022,NA,NA,NA,NA,NA,NA,NA,51,0,3,49,48,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
"10",34094,2017-09-24,"S2",0.939962162268496,0.744475488094901,0.176205052465166,0.652127694358166,0.996336745299158,0.925183782238178,1.40399845159593,0.572748978035927,-0.0543205650247353,NA,NA,NA,NA,NA,NA,NA,51,0,3,49,48,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
"13",34094,2016-04-27,"S2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,51,0,3,49,48,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
"15",34094,2015-08-24,"S2",0.203947754897269,0.261809220772894,-0.134498332826862,0.0701011246066049,1.9017124750056,2.13484175965609,2.26954844045764,0.600567552256126,-0.0353486943618453,NA,NA,NA,NA,NA,NA,NA,51,0,3,49,48,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
"16",34094,2015-09-30,"S2",1.20540998132041,0.9985103656328,0.352550217090371,0.81086221338132,0.520339749193334,0.370979246328648,0.570366792041477,0.659295653387657,0.0215669176268247,NA,NA,NA,NA,NA,NA,NA,51,0,3,49,48,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
"18",34094,2018-06-09,"S2",-1.34047591958662,-0.589207618979066,-1.01622415595289,0.169310198996076,3.02545796065749,3.28055305985368,3.57444484448995,0.742751376048253,0.0405387882897147,NA,NA,NA,NA,NA,NA,NA,51,0,3,49,48,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
"20",34094,2016-05-10,"S2",0.143618705112742,1.39226442581654,0.0754363869650489,1.6508323765455,1.99740259277945,1.36215274324377,1.44154942725153,1.2496676173941,0.78992767947387,NA,NA,NA,NA,NA,NA,NA,51,0,3,49,48,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
"21",34094,2017-05-05,"S2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,51,0,3,49,48,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
"23",34094,2017-08-30,"S2",-0.0132368243270277,0.00777434323499564,-0.495586050868949,-0.174614592220756,1.63917804931836,2.0620135994885,2.17567100131863,0.52638468766893,-0.191866627330688,NA,NA,NA,NA,NA,NA,NA,51,0,3,49,48,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
"24",34094,2017-05-02,"S2",1.38639713067399,1.54468535233928,2.78779296667654,2.556941922636,-0.554333881189917,-0.625523140354834,-0.475427879967148,3.51842689268585,4.01514569216517,NA,NA,NA,NA,NA,NA,NA,51,0,3,49,48,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
"26",34102,2015-09-30,"S2",0.988225402096118,0.858791182986956,0.352550217090371,0.506621051920276,0.194011911656867,0.262625154371977,0.262448791665508,0.00401368286742097,-0.31044081897375,NA,NA,NA,NA,NA,NA,NA,45,0,3,96,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
"27",34102,2016-04-27,"S2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,45,0,3,96,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
"28",34102,2016-05-10,"S2",-0.0494342541977438,0.592054561572162,-0.075716611285127,0.671969509236061,0.677369686052987,0.511306676895484,0.600407572565962,0.628386126476325,0.476891813536185,NA,NA,NA,NA,NA,NA,NA,45,0,3,96,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
"30",34102,2017-05-02,"S2",0.650382723302767,0.744475488094901,1.56177420309178,1.45241422776656,-0.110233591008711,-0.279145305411378,-0.148734391763376,1.19712142164483,1.49662986166652,NA,NA,NA,NA,NA,NA,NA,45,0,3,96,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
"31",34102,2017-05-05,"S2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,45,0,3,96,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
"33",34102,2017-08-30,"S2",-0.0373684442408385,-0.271664022056693,-0.503983439660625,-0.544995136608113,1.00124393082602,1.07439269575228,1.17493750009673,-0.0887148978665746,-0.566561072922765,NA,NA,NA,NA,NA,NA,NA,45,0,3,96,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
"34",34102,2017-09-24,"S2",0.758975012914916,0.439633635049423,0.0922311645484018,0.0899429394844991,0.360856219570249,0.605450396136526,0.743101280057264,-0.193807289365103,-0.419529075285368,NA,NA,NA,NA,NA,NA,NA,45,0,3,96,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
"36",34102,2015-08-04,"S2",-1.21981782001756,-1.17348783731623,-1.01622415595289,-0.822780544898632,1.19017057361029,1.43320460682191,1.45281471994822,-0.252535390496634,-0.599761846582823,NA,NA,NA,NA,NA,NA,NA,45,0,3,96,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
"38",34102,2015-08-24,"S2",-0.0494342541977438,-0.322470997564272,-0.386419996577155,-0.518539383437588,0.915368184105899,1.04597195032102,1.09044780487162,-0.215443958203035,-0.53810326692843,NA,NA,NA,NA,NA,NA,NA,45,0,3,96,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
"39",34102,2018-05-10,"S2",-0.664790561999918,0.388826659541844,-0.142895721618539,1.09526155996447,0.714173577504468,0.541503718916196,0.728080889795022,0.578930883418194,0.590723037513525,NA,NA,NA,NA,NA,NA,NA,45,0,3,96,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
"42",34102,2018-05-27,"S2",0.939962162268496,1.15093129215554,0.260178940381931,0.57276043484659,1.83791906315636,1.82576615309116,1.91093662294661,0.677841369534456,0.367803557224567,NA,NA,NA,NA,NA,NA,NA,45,0,3,96,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
"44",34102,2018-05-30,"S2",-1.03883067066398,-0.957558191409019,-0.949045045619477,-0.558223013193376,1.17054183150284,1.31596903191797,1.48661059803826,-0.0176229859705113,-0.300954883642305,NA,NA,NA,NA,NA,NA,NA,45,0,3,96,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
"45",34102,2018-06-09,"S2",-1.43700239924186,-1.2624000444545,-1.07500587749462,-0.664046025875478,1.26377835651325,1.4758357249688,1.59175332987396,-0.0887148978665746,-0.381585333959588,NA,NA,NA,NA,NA,NA,NA,45,0,3,96,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
"47",34102,2018-08-23,"S2",-0.0976974940253653,-0.284365765933588,-0.277253942285362,-0.664046025875478,0.471267893924692,0.733343750577187,0.820080780151256,-0.18144347860057,-0.32941268963664,NA,NA,NA,NA,NA,NA,NA,45,0,3,96,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
"48",34102,2018-09-19,"S2",0.758975012914916,0.388826659541844,-0.0337296673267448,-0.267209728317596,0.35104184851652,0.523740753021659,0.688652365356636,-0.0268958440439109,-0.372099398628143,NA,NA,NA,NA,NA,NA,NA,45,0,3,96,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
"50",34111,2015-08-24,"S2",-0.375211123034189,-0.792435521009385,-0.545970383619008,-1.12702170635968,-0.51016921144814,-0.483419413198544,-0.610611392327329,-0.845998307194205,-0.912797712520508,NA,NA,NA,NA,NA,NA,NA,77,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
"52",34111,2015-08-04,"S2",-1.38873915941424,-1.54183840974619,-1.00782676716121,-1.37173742318704,-0.367860831169079,-0.288026788358646,-0.466040136053246,-0.802724969518341,-0.84165319753467,NA,NA,NA,NA,NA,NA,NA,77,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
"53",34111,2018-05-10,"S2",-0.966435810922552,-0.919452959778334,-0.352830441410449,-0.498697568559694,-0.740806931210755,-0.797823909531835,-0.847182538957646,-0.2494444378055,-0.168151789002075,NA,NA,NA,NA,NA,NA,NA,77,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
"56",34111,2015-09-30,"S2",0.614185293432051,-0.449488436333222,-0.411612162952185,-1.03442657026284,-1.04014524834947,-0.94703282304594,-1.21142700281702,-0.864544023341005,-0.732564941223053,NA,NA,NA,NA,NA,NA,NA,77,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
"57",34111,2016-04-27,"S2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,77,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
"58",34111,2016-05-10,"S2",-0.314882073249662,-0.208155302672218,-0.0169348897433919,-0.472241815389168,-0.775157229898805,-0.767626867511124,-0.813386660867601,-0.218534910894168,-0.15866585367063,NA,NA,NA,NA,NA,NA,NA,77,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
"60",34111,2017-05-02,"S2",-0.182158163723703,-0.512997155717696,0.117423330923431,-0.00265219661234028,-0.667199148307793,-0.639733513070463,-0.691345989986881,-0.0578053709552428,0.149627044601332,NA,NA,NA,NA,NA,NA,NA,77,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
"61",34111,2017-05-05,"S2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,77,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
"63",34111,2017-08-30,"S2",-0.182158163723703,-0.83054075264007,-0.629944271535772,-1.23284471904178,-0.367860831169079,-0.197435662296511,-0.580570611802844,-0.53072113269862,-0.789480553211723,NA,NA,NA,NA,NA,NA,NA,77,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
"64",34111,2017-09-24,"S2",0.457329763992282,-0.474891924087012,-0.310843497452067,-1.02119869367757,-0.848765012801767,-0.691246114164618,-0.984243600100608,-0.913999266399136,-0.779994617880278,NA,NA,NA,NA,NA,NA,NA,77,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
"68",34111,2018-05-30,"S2",-0.942304191008741,-0.843242496516965,-0.44520171811889,-0.683887840753373,-0.0709761067937975,-0.000266740867159145,-0.283917904123557,-0.255626343187767,-0.36735643096242,NA,NA,NA,NA,NA,NA,NA,77,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
"69",34111,2018-06-09,"S2",-1.35254172954352,-1.14808434956244,-0.747507714619242,-0.750027223679686,-0.024357844288588,0.106311054500058,-0.195673111332884,-0.360718734686295,-0.528617331596985,NA,NA,NA,NA,NA,NA,NA,77,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
"70",34111,2018-08-23,"S2",0.0229606055436884,-0.322470997564272,-0.218472220743626,-1.00797081709231,-0.853672198328631,-0.526050531345431,-0.80587646573648,-0.870725928723271,-0.737307908888775,NA,NA,NA,NA,NA,NA,NA,77,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
"71",34111,2018-09-19,"S2",0.638316913345862,-0.182751814918428,-0.277253942285362,-1.10717989148178,-0.892929682543544,-0.787166129995114,-0.978610953752267,-0.790361158753808,-0.808452423874613,NA,NA,NA,NA,NA,NA,NA,77,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
"72",34111,2018-05-27,"S2",0.203947754897269,0.261809220772894,-0.00853750095171549,-0.168000653928125,0.316691549828471,0.436702220138432,-0.0229386233170964,0.0843784528368838,-0.0875213386847928,NA,NA,NA,NA,NA,NA,NA,77,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
"74",34235,2015-08-04,"S2",-1.18362039014685,-0.944856447532124,-0.890263324077742,-0.399488494170223,2.15933971516596,2.28227437658074,2.02358954991343,0.616022315711792,-0.0827783710190703,NA,NA,NA,NA,NA,NA,NA,21,0,8,72,20,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"75",34235,2015-09-30,"S2",1.12094931162208,0.795282463602481,0.260178940381931,0.843931904844476,0.723987948558196,0.726238564219372,0.703672755618878,0.446019917699467,0.0595106589526047,NA,NA,NA,NA,NA,NA,NA,21,0,8,72,20,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"76",34235,2016-04-27,"S2",0.638316913345862,0.185598757511525,0.957162210091075,0.777792521918163,-0.645116813436904,-0.693022410754072,-0.687590892421321,0.480020397301932,0.75198393814809,NA,NA,NA,NA,NA,NA,NA,21,0,8,72,20,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"78",34235,2015-08-24,"S2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,21,0,8,72,20,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"79",34235,2018-08-23,"S2",-0.363145313077283,-0.398681460825642,-0.403214774160508,-0.485469691974431,0.984068781481997,1.39057348867503,1.21812112210068,0.464565633846266,-0.125465080010573,NA,NA,NA,NA,NA,NA,NA,21,0,8,72,20,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"80",34235,2018-09-19,"S2",1.00029121205302,0.452335378926318,0.0502442205900196,0.109784754362393,0.866296328837257,1.07972158552064,1.00220301208094,0.659295653387657,-0.0543205650247353,NA,NA,NA,NA,NA,NA,NA,21,0,8,72,20,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"82",34235,2017-05-02,"S2",0.40906652416466,0.0966865503732601,0.948764821299399,0.585988311431853,-0.767796451608508,-0.74631130843768,-0.665060307027957,0.625295173785192,0.84684329146254,NA,NA,NA,NA,NA,NA,NA,21,0,8,72,20,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"83",34235,2017-05-05,"S2",1.8448979090364,1.69710627886202,2.20837314005086,1.5450093638634,-0.313881790373573,-0.463880150714554,-0.456652392139345,0.903480915987178,1.50611579699797,NA,NA,NA,NA,NA,NA,NA,21,0,8,72,20,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"85",34235,2017-08-30,"S2",0.240145184767985,0.211002245265314,-0.319240886243744,-0.141544900757599,1.59501337957659,1.94833061776346,1.71942664710302,0.724205659901454,0.0168239499611022,NA,NA,NA,NA,NA,NA,NA,21,0,8,72,20,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"86",34235,2017-09-24,"S2",0.976159592139212,0.604756305449057,0.218191996423548,0.400798039238174,0.814770880805183,0.678278556304124,0.90644802415915,0.616022315711792,0.0879684649469397,NA,NA,NA,NA,NA,NA,NA,21,0,8,72,20,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"88",34235,2016-05-10,"S2",0.421132334121565,1.2398434992938,0.352550217090371,1.47225604264446,0.733802319611925,0.38163702586537,0.179836645223176,0.578930883418194,0.42946213687896,NA,NA,NA,NA,NA,NA,NA,21,0,8,72,20,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"91",34235,2018-05-27,"S2",0.300474234552512,1.11282606052485,-0.159690499201891,0.61905800289501,2.76046994220682,2.4794432980101,2.72954789223882,1.05184664516157,0.358317621893122,NA,NA,NA,NA,NA,NA,NA,21,0,8,72,20,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"93",34235,2018-05-30,"S2",-1.01469905075017,-0.309769253687378,-0.856673768911036,0.215607767044495,2.77764509155085,2.6286522115242,2.61313986770644,0.714932801828054,0.140141109269887,NA,NA,NA,NA,NA,NA,NA,21,0,8,72,20,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"94",34235,2018-06-09,"S2",-1.3042784897159,-0.576505875102171,-0.923852879244447,0.0502593097287108,2.76292353497026,2.62154702516639,2.60562967257532,0.640749937240857,0.121169238606997,NA,NA,NA,NA,NA,NA,NA,21,0,8,72,20,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"96",34235,2018-05-10,"S2",-0.507935032560148,0.17289701363463,-0.075716611285127,0.645513756065535,0.184197540603139,-0.0944104601082011,-0.0755099892349446,0.316199904671873,0.253972333247227,NA,NA,NA,NA,NA,NA,NA,21,0,8,72,20,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"98",34237,2015-09-30,"S2",0.650382723302767,-0.258962278179798,-0.428406940535537,-0.650818149290216,-0.968991058209939,-0.787166129995114,-0.591835904499526,-0.947999746001601,-0.65193449090577,NA,NA,NA,NA,NA,NA,NA,42,0,40,0,60,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
"99",34237,2016-04-27,"S2",0.155684515069647,-0.449488436333222,0.100628553340078,0.275133211678178,-0.939547945048754,-1.0749261774866,-1.194529063772,-0.53999399077202,-0.149179918339185,NA,NA,NA,NA,NA,NA,NA,42,0,40,0,60,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
"100",34237,2016-05-10,"S2",0.131552895155837,0.490440610557003,0.058641609381696,0.0436453714360794,0.142486463624793,-0.360854948526244,-0.334611721258625,-0.0361687021173105,0.339345751230232,NA,NA,NA,NA,NA,NA,NA,42,0,40,0,60,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
"101",34237,2015-08-24,"S2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,42,0,40,0,60,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
"103",34237,2017-05-05,"S2",1.67597656963972,1.58279058396997,1.83049064442542,1.20108457264657,-0.713817410813003,-0.835126137910361,-0.781468331560336,0.575839930727061,1.24999554304895,NA,NA,NA,NA,NA,NA,NA,42,0,40,0,60,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
"105",34237,2017-08-30,"S2",-0.121829113939176,-0.436786692456327,-0.697123381869183,-1.03442657026284,0.564504418935111,0.63209484497833,0.410775145505152,-0.203080147438503,-0.580789975919933,NA,NA,NA,NA,NA,NA,NA,42,0,40,0,60,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
"106",34237,2017-05-02,"S2",-0.0856316840684599,-0.462190180210117,0.251781551590254,0.235449581922389,-1.03033087729574,-0.755192791384948,-1.02367212453899,0.217289418555611,0.747240970482367,NA,NA,NA,NA,NA,NA,NA,42,0,40,0,60,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
"108",34237,2015-08-04,"S2",-1.35254172954352,-1.21159306894692,-1.12539021024468,-1.14686352123757,0.601308310386592,0.921631189059271,0.893305182679688,0.0658327366900847,-0.38632830162531,NA,NA,NA,NA,NA,NA,NA,42,0,40,0,60,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
